leal 4(%esp), %ecx   eip: 168 eax:   0 ebp: 996 esp: 1000 edx:   0 ebx:   0 ecx: 1004 flags: 192
andl $-16, %esp      eip: 172 eax:   0 ebp: 996 esp: 992 edx:   0 ebx:   0 ecx: 1004 flags:   0
pushl -4(%ecx)       eip: 176 eax:   0 ebp: 996 esp: 988 edx:   0 ebx:   0 ecx: 1004 flags:   0
pushl %ebp           eip: 180 eax:   0 ebp: 996 esp: 984 edx:   0 ebx:   0 ecx: 1004 flags:   0
movl %esp, %ebp      eip: 184 eax:   0 ebp: 984 esp: 984 edx:   0 ebx:   0 ecx: 1004 flags:   0
pushl %ecx           eip: 188 eax:   0 ebp: 984 esp: 980 edx:   0 ebx:   0 ecx: 1004 flags:   0
subl $20, %esp       eip: 192 eax:   0 ebp: 984 esp: 960 edx:   0 ebx:   0 ecx: 1004 flags:   0
movl $4, -12(%ebp)   eip: 196 eax:   0 ebp: 984 esp: 960 edx:   0 ebx:   0 ecx: 1004 flags:   0
subl $12, %esp       eip: 200 eax:   0 ebp: 984 esp: 948 edx:   0 ebx:   0 ecx: 1004 flags:   0
pushl -12(%ebp)      eip: 204 eax:   0 ebp: 984 esp: 944 edx:   0 ebx:   0 ecx: 1004 flags:   0
call fac             eip: 100 eax:   0 ebp: 984 esp: 940 edx:   0 ebx:   0 ecx: 1004 flags:   0
pushl %ebp           eip: 104 eax:   0 ebp: 984 esp: 936 edx:   0 ebx:   0 ecx: 1004 flags:   0
movl %esp, %ebp      eip: 108 eax:   0 ebp: 936 esp: 936 edx:   0 ebx:   0 ecx: 1004 flags:   0
subl $8, %esp        eip: 112 eax:   0 ebp: 936 esp: 928 edx:   0 ebx:   0 ecx: 1004 flags:   0
cmpl $0, 8(%ebp)     eip: 116 eax:   0 ebp: 936 esp: 928 edx:   0 ebx:   0 ecx: 1004 flags:   0
jg .L2               eip: 128 eax:   0 ebp: 936 esp: 928 edx:   0 ebx:   0 ecx: 1004 flags:   0
